VERSION,REGION,IO_MALLOC_FLAG,SIZE,THREAD_NUM,AVG_TOTAL_TIME,STD_TOTAL_TIME,%STD
mandelbrot_seq,full,0,16,1,0.0007330,0.0000507,6.92%
mandelbrot_seq,seahorse,0,16,1,0.0009607,0.0000575,5.99%
mandelbrot_seq,elephant,0,16,1,0.001201,0.000110,9.15%
mandelbrot_seq,spiral,0,16,1,0.0010568,0.0000831,7.86%
mandelbrot_seq,full,0,32,1,0.0008704,0.0000319,3.67%
mandelbrot_seq,seahorse,0,32,1,0.0020483,0.0000632,3.08%
mandelbrot_seq,elephant,0,32,1,0.001980,0.000121,6.12%
mandelbrot_seq,spiral,0,32,1,0.002380,0.000164,6.90%
mandelbrot_seq,full,0,64,1,0.0013462,0.0000545,4.05%
mandelbrot_seq,seahorse,0,64,1,0.005735,0.000106,1.84%
mandelbrot_seq,elephant,0,64,1,0.005387,0.000137,2.55%
mandelbrot_seq,spiral,0,64,1,0.0061378,0.0000794,1.29%
mandelbrot_seq,full,0,128,1,0.003455,0.000112,3.24%
mandelbrot_seq,seahorse,0,128,1,0.017413,0.000626,3.59%
mandelbrot_seq,elephant,0,128,1,0.017511,0.000506,2.89%
mandelbrot_seq,spiral,0,128,1,0.019365,0.000525,2.71%
mandelbrot_seq,full,0,256,1,0.009920,0.000238,2.40%
mandelbrot_seq,seahorse,0,256,1,0.06254,0.00141,2.25%
mandelbrot_seq,elephant,0,256,1,0.058590,0.000486,0.83%
mandelbrot_seq,spiral,0,256,1,0.071033,0.000741,1.04%
mandelbrot_seq,full,0,512,1,0.034459,0.000807,2.34%
mandelbrot_seq,seahorse,0,512,1,0.23999,0.00231,0.96%
mandelbrot_seq,elephant,0,512,1,0.22649,0.00231,1.02%
mandelbrot_seq,spiral,0,512,1,0.27237,0.00244,0.90%
mandelbrot_seq,full,0,1024,1,0.130660,0.000820,0.63%
mandelbrot_seq,seahorse,0,1024,1,0.94278,0.00313,0.33%
mandelbrot_seq,elephant,0,1024,1,0.90745,0.00624,0.69%
mandelbrot_seq,spiral,0,1024,1,1.07711,0.00259,0.24%
mandelbrot_seq,full,0,2048,1,0.51252,0.00276,0.54%
mandelbrot_seq,seahorse,0,2048,1,3.75221,0.00933,0.25%
mandelbrot_seq,elephant,0,2048,1,3.5674,0.0134,0.38%
mandelbrot_seq,spiral,0,2048,1,4.28239,0.00721,0.17%
mandelbrot_seq,full,0,4096,1,2.02926,0.00284,0.14%
mandelbrot_seq,seahorse,0,4096,1,14.9727,0.0426,0.28%
mandelbrot_seq,elephant,0,4096,1,14.1588,0.0299,0.21%
mandelbrot_seq,spiral,0,4096,1,17.181,0.167,0.97%
mandelbrot_seq,full,0,8192,1,8.1625,0.0957,1.17%
mandelbrot_seq,seahorse,0,8192,1,60.288,0.394,0.65%
mandelbrot_seq,elephant,0,8192,1,57.086,0.261,0.46%
mandelbrot_seq,spiral,0,8192,1,68.164,0.229,0.34%
mandelbrot_pth,full,0,16,1,0.0007215,0.0000364,5.04%
mandelbrot_pth,seahorse,0,16,1,0.0008846,0.0000295,3.34%
mandelbrot_pth,elephant,0,16,1,0.0008842,0.0000324,3.66%
mandelbrot_pth,spiral,0,16,1,0.0009025,0.0000343,3.80%
mandelbrot_pth,full,0,16,2,0.0006228,0.0000301,4.83%
mandelbrot_pth,seahorse,0,16,2,0.0008384,0.0000513,6.12%
mandelbrot_pth,elephant,0,16,2,0.000942,0.000102,10.78%
mandelbrot_pth,spiral,0,16,2,0.001121,0.000278,24.84%
mandelbrot_pth,full,0,16,4,0.0007658,0.0000676,8.83%
mandelbrot_pth,seahorse,0,16,4,0.0006951,0.0000274,3.95%
mandelbrot_pth,elephant,0,16,4,0.0007325,0.0000248,3.39%
mandelbrot_pth,spiral,0,16,4,0.0008122,0.0000548,6.75%
mandelbrot_pth,full,0,16,8,0.0007933,0.0000192,2.42%
mandelbrot_pth,seahorse,0,16,8,0.0008505,0.0000415,4.88%
mandelbrot_pth,elephant,0,16,8,0.001169,0.000133,11.37%
mandelbrot_pth,spiral,0,16,8,0.0009117,0.0000527,5.78%
mandelbrot_pth,full,0,16,16,0.0011152,0.0000709,6.36%
mandelbrot_pth,seahorse,0,16,16,0.0011322,0.0000819,7.23%
mandelbrot_pth,elephant,0,16,16,0.0010737,0.0000450,4.19%
mandelbrot_pth,spiral,0,16,16,0.0010513,0.0000407,3.88%
mandelbrot_pth,full,0,16,32,0.0010279,0.0000501,4.88%
mandelbrot_pth,seahorse,0,16,32,0.0010314,0.0000603,5.85%
mandelbrot_pth,elephant,0,16,32,0.0010363,0.0000569,5.49%
mandelbrot_pth,spiral,0,16,32,0.001135,0.000153,13.51%
mandelbrot_pth,full,0,32,1,0.000905,0.000137,15.18%
mandelbrot_pth,seahorse,0,32,1,0.0017178,0.0000912,5.31%
mandelbrot_pth,elephant,0,32,1,0.0015853,0.0000371,2.34%
mandelbrot_pth,spiral,0,32,1,0.002301,0.000389,16.93%
mandelbrot_pth,full,0,32,2,0.0007810,0.0000838,10.73%
mandelbrot_pth,seahorse,0,32,2,0.0012103,0.0000522,4.32%
mandelbrot_pth,elephant,0,32,2,0.0011557,0.0000398,3.45%
mandelbrot_pth,spiral,0,32,2,0.0012523,0.0000247,1.98%
mandelbrot_pth,full,0,32,4,0.0007351,0.0000218,2.97%
mandelbrot_pth,seahorse,0,32,4,0.0008782,0.0000201,2.29%
