VERSION,REGION,IO_MALLOC_FLAG,SIZE,THREAD_NUM,AVG_TOTAL_TIME,STD_TOTAL_TIME,%STD
mandelbrot_seq,full,0,16,1,0.000823,0.000107,2.95%
mandelbrot_seq,seahorse,0,16,1,0.00108182,0.00000829,0.77%
mandelbrot_seq,elephant,0,16,1,0.0012663,0.0000250,1.98%
mandelbrot_seq,spiral,0,16,1,0.0011879,0.0000658,5.54%
mandelbrot_seq,full,0,32,1,0.0010822,0.0000509,4.70%
mandelbrot_seq,seahorse,0,32,1,0.0022001,0.0000332,1.51%
mandelbrot_seq,elephant,0,32,1,0.001795,0.000130,7.22%
mandelbrot_seq,spiral,0,32,1,0.0025050,0.0000958,3.82%
mandelbrot_seq,full,0,64,1,0.0014110,0.0000498,3.53%
mandelbrot_seq,seahorse,0,64,1,0.005824,0.000183,3.15%
mandelbrot_seq,elephant,0,64,1,0.0058000,0.0000551,0.95%
mandelbrot_seq,spiral,0,64,1,0.007496,0.000317,4.23%
mandelbrot_seq,full,0,128,1,0.003699,0.000262,7.09%
mandelbrot_seq,seahorse,0,128,1,0.02135,0.00247,1.55%
mandelbrot_seq,elephant,0,128,1,0.019986,0.000961,4.81%
mandelbrot_seq,spiral,0,128,1,0.02397,0.00128,5.33%
mandelbrot_seq,full,0,256,1,0.01167845,0.00000288,0.02%
mandelbrot_seq,seahorse,0,256,1,0.07139,0.00462,6.48%
mandelbrot_seq,elephant,0,256,1,0.06866,0.00481,7.01%
mandelbrot_seq,spiral,0,256,1,0.0766315,0.0000481,0.06%
mandelbrot_seq,full,0,512,1,0.036663,0.000862,2.35%
mandelbrot_seq,seahorse,0,512,1,0.2638,0.0101,3.83%
mandelbrot_seq,elephant,0,512,1,0.24063,0.00941,3.91%
mandelbrot_seq,spiral,0,512,1,0.28659,0.00552,1.93%
mandelbrot_seq,full,0,1024,1,0.14380,0.00828,5.76%
mandelbrot_seq,seahorse,0,1024,1,1.0540,0.0376,3.57%
mandelbrot_seq,elephant,0,1024,1,1.0767,0.0140,1.30%
mandelbrot_seq,spiral,0,1024,1,1.4056,0.0197,1.40%
mandelbrot_seq,full,0,2048,1,0.51998,0.00559,1.07%
mandelbrot_seq,seahorse,0,2048,1,3.7525,0.0220,0.59%
mandelbrot_seq,elephant,0,2048,1,3.5500,0.0481,1.35%
mandelbrot_seq,spiral,0,2048,1,4.2737,0.0224,0.52%
mandelbrot_seq,full,0,4096,1,2.00724,0.00245,0.12%
mandelbrot_seq,seahorse,0,4096,1,4.8849,0.0561,0.38%
mandelbrot_seq,elephant,0,4096,1,4.0864,0.0242,0.17%
mandelbrot_seq,spiral,0,4096,1,7.1021,0.0712,0.42%
mandelbrot_seq,full,0,8192,1,8.240,0.244,2.96%
mandelbrot_seq,seahorse,0,8192,1,1.328,0.703,1.15%
mandelbrot_seq,elephant,0,8192,1,8.17,1.02,1.75%
mandelbrot_seq,spiral,0,8192,1,9.040,0.283,0.41%
mandelbrot_pth,full,0,16,1,0.000797,0.000203,5.45%
mandelbrot_pth,seahorse,0,16,1,0.001903,0.000229,2.04%
mandelbrot_pth,elephant,0,16,1,0.001816,0.000564,1.07%
mandelbrot_pth,spiral,0,16,1,0.0011683,0.0000837,7.17%
mandelbrot_pth,full,0,16,2,0.001422,0.000412,8.99%
mandelbrot_pth,seahorse,0,16,2,0.001206,0.000181,5.02%
mandelbrot_pth,elephant,0,16,2,0.001159,0.000115,9.91%
mandelbrot_pth,spiral,0,16,2,0.001808,0.000720,9.82%
mandelbrot_pth,full,0,16,4,0.0010334,0.0000803,7.77%
mandelbrot_pth,seahorse,0,16,4,0.0011939,0.0000906,7.59%
mandelbrot_pth,elephant,0,16,4,0.0011168,0.0000979,8.77%
mandelbrot_pth,spiral,0,16,4,0.001163,0.000100,8.64%
mandelbrot_pth,full,0,16,8,0.001511,0.000426,8.17%
mandelbrot_pth,seahorse,0,16,8,0.001357,0.000105,7.77%
mandelbrot_pth,elephant,0,16,8,0.0013239,0.0000200,1.51%
mandelbrot_pth,spiral,0,16,8,0.0012960,0.0000320,2.47%
mandelbrot_pth,full,0,16,16,0.001509,0.000261,7.31%
mandelbrot_pth,seahorse,0,16,16,0.002314,0.000652,8.19%
mandelbrot_pth,elephant,0,16,16,0.001603,0.000195,2.13%
mandelbrot_pth,spiral,0,16,16,0.002059,0.000376,8.28%
mandelbrot_pth,full,0,16,32,0.001815,0.000190,0.49%
mandelbrot_pth,seahorse,0,16,32,0.0019638,0.0000939,4.78%
mandelbrot_pth,elephant,0,16,32,0.001624,0.000176,0.85%
mandelbrot_pth,spiral,0,16,32,0.0014208,0.0000621,4.37%
mandelbrot_pth,full,0,32,1,0.001666,0.000651,9.10%
mandelbrot_pth,seahorse,0,32,1,0.002070,0.000145,6.98%
mandelbrot_pth,elephant,0,32,1,0.002817,0.000211,7.48%
mandelbrot_pth,spiral,0,32,1,0.003004,0.000296,9.85%
mandelbrot_pth,full,0,32,2,0.001367,0.000128,9.33%
mandelbrot_pth,seahorse,0,32,2,0.0017429,0.0000661,3.79%
mandelbrot_pth,elephant,0,32,2,0.0015490,0.0000784,5.06%
mandelbrot_pth,spiral,0,32,2,0.0017915,0.0000253,1.41%
mandelbrot_pth,full,0,32,4,0.001236,0.000220,7.80%
mandelbrot_pth,seahorse,0,32,4,0.00136239,0.00000997,0.73%
mandelbrot_pth,elephant,0,32,4,0.001572307,0.000000804,0.05%
mandelbrot_pth,spiral,0,32,4,0.0012844,0.0000187,1.46%
mandelbrot_pth,full,0,32,8,0.0013381,0.0000661,4.94%
mandelbrot_pth,seahorse,0,32,8,0.0017137,0.0000262,1.53%
mandelbrot_pth,elephant,0,32,8,0.001602,0.000302,8.82%
mandelbrot_pth,spiral,0,32,8,0.001869,0.000412,2.02%
mandelbrot_pth,full,0,32,16,0.001672,0.000211,2.63%
mandelbrot_pth,seahorse,0,32,16,0.0019928,0.0000232,1.16%
mandelbrot_pth,elephant,0,32,16,0.0017217,0.0000484,2.81%
mandelbrot_pth,spiral,0,32,16,0.003266,0.000711,1.77%
mandelbrot_pth,full,0,32,32,0.002359,0.000132,5.58%
mandelbrot_pth,seahorse,0,32,32,0.002592,0.000128,4.93%
mandelbrot_pth,elephant,0,32,32,0.002182,0.000392,7.97%
mandelbrot_pth,spiral,0,32,32,0.002230,0.000380,7.04%
mandelbrot_pth,full,0,64,1,0.001977,0.000299,5.10%
mandelbrot_pth,seahorse,0,64,1,0.00837,0.00255,0.46%
mandelbrot_pth,elephant,0,64,1,0.005705,0.000243,4.26%
mandelbrot_pth,spiral,0,64,1,0.007556,0.000689,9.12%
mandelbrot_pth,full,0,64,2,0.0014808,0.0000753,5.08%
mandelbrot_pth,seahorse,0,64,2,0.004447,0.000644,4.49%
mandelbrot_pth,elephant,0,64,2,0.003306,0.000121,3.65%
mandelbrot_pth,spiral,0,64,2,0.0041127,0.0000375,0.91%
mandelbrot_pth,full,0,64,4,0.001547,0.000142,9.17%
mandelbrot_pth,seahorse,0,64,4,0.003635,0.000843,3.19%
mandelbrot_pth,elephant,0,64,4,0.002423,0.000134,5.53%
mandelbrot_pth,spiral,0,64,4,0.002595,0.000195,7.51%
mandelbrot_pth,full,0,64,8,0.001712,0.000290,6.96%
mandelbrot_pth,seahorse,0,64,8,0.0036643,0.0000357,0.97%
mandelbrot_pth,elephant,0,64,8,0.002944,0.000728,4.74%
mandelbrot_pth,spiral,0,64,8,0.0026014,0.0000648,2.49%
mandelbrot_pth,full,0,64,16,0.0015943,0.0000743,4.66%
mandelbrot_pth,seahorse,0,64,16,0.003489,0.000455,3.03%
mandelbrot_pth,elephant,0,64,16,0.002883,0.000339,1.76%
mandelbrot_pth,spiral,0,64,16,0.002593,0.000149,5.75%
mandelbrot_pth,full,0,64,32,0.002026,0.000345,7.01%
mandelbrot_pth,seahorse,0,64,32,0.00401,0.00120,9.83%
mandelbrot_pth,elephant,0,64,32,0.004432,0.000433,9.77%
mandelbrot_pth,spiral,0,64,32,0.005277,0.000591,1.19%
mandelbrot_pth,full,0,128,1,0.004396,0.000918,0.89%
mandelbrot_pth,seahorse,0,128,1,0.02232,0.00161,7.23%
mandelbrot_pth,elephant,0,128,1,0.01966,0.00114,5.79%
mandelbrot_pth,spiral,0,128,1,0.02133,0.00114,5.32%
mandelbrot_pth,full,0,128,2,0.003030,0.000274,9.05%
mandelbrot_pth,seahorse,0,128,2,0.011659,0.000455,3.90%
mandelbrot_pth,elephant,0,128,2,0.010640,0.000912,8.57%
mandelbrot_pth,spiral,0,128,2,0.011375,0.000133,1.17%
mandelbrot_pth,full,0,128,4,0.002277,0.000352,5.44%
mandelbrot_pth,seahorse,0,128,4,0.006006,0.000255,4.25%
mandelbrot_pth,elephant,0,128,4,0.006394,0.000338,5.29%
mandelbrot_pth,spiral,0,128,4,0.0063193,0.0000356,0.56%
mandelbrot_pth,full,0,128,8,0.0022646,0.0000997,4.40%
mandelbrot_pth,seahorse,0,128,8,0.00661,0.00127,9.21%
mandelbrot_pth,elephant,0,128,8,0.005638,0.000309,5.48%
mandelbrot_pth,spiral,0,128,8,0.008251,0.000407,4.93%
mandelbrot_pth,full,0,128,16,0.004394,0.000282,6.42%
mandelbrot_pth,seahorse,0,128,16,0.0068557,0.0000150,0.22%
mandelbrot_pth,elephant,0,128,16,0.0072433,0.0000530,0.73%
mandelbrot_pth,spiral,0,128,16,0.007001,0.000158,2.25%
mandelbrot_pth,full,0,128,32,0.003165,0.000337,0.66%
mandelbrot_pth,seahorse,0,128,32,0.007496,0.000303,4.04%
mandelbrot_pth,elephant,0,128,32,0.007047,0.000425,6.02%
mandelbrot_pth,spiral,0,128,32,0.007633,0.000452,5.92%
mandelbrot_pth,full,0,256,1,0.011730,0.000717,6.11%
mandelbrot_pth,seahorse,0,256,1,0.07012,0.00532,7.59%
mandelbrot_pth,elephant,0,256,1,0.06328635,0.00000355,0.01%
mandelbrot_pth,spiral,0,256,1,0.077188,0.000839,1.09%
mandelbrot_pth,full,0,256,2,0.0052791,0.0000891,1.69%
mandelbrot_pth,seahorse,0,256,2,0.03901,0.00183,4.70%
mandelbrot_pth,elephant,0,256,2,0.03355,0.00214,6.39%
mandelbrot_pth,spiral,0,256,2,0.04411,0.00384,8.70%
mandelbrot_pth,full,0,256,4,0.00653,0.00100,5.33%
mandelbrot_pth,seahorse,0,256,4,0.022731,0.000212,0.93%
mandelbrot_pth,elephant,0,256,4,0.02466,0.00139,5.63%
mandelbrot_pth,spiral,0,256,4,0.02381,0.00189,7.95%
mandelbrot_pth,full,0,256,8,0.0075047,0.0000707,0.94%
mandelbrot_pth,seahorse,0,256,8,0.02102,0.00100,4.77%
mandelbrot_pth,elephant,0,256,8,0.02106,0.00131,6.22%
mandelbrot_pth,spiral,0,256,8,0.02386,0.00224,9.38%
mandelbrot_pth,full,0,256,16,0.004562,0.000767,6.81%
mandelbrot_pth,seahorse,0,256,16,0.017822,0.000257,1.44%
mandelbrot_pth,elephant,0,256,16,0.01677,0.00114,6.77%
mandelbrot_pth,spiral,0,256,16,0.0188061,0.0000753,0.40%
mandelbrot_pth,full,0,256,32,0.0059437,0.0000766,1.29%
mandelbrot_pth,seahorse,0,256,32,0.017195,0.000145,0.85%
mandelbrot_pth,elephant,0,256,32,0.01569,0.00148,9.45%
mandelbrot_pth,spiral,0,256,32,0.01865,0.00172,9.23%
mandelbrot_pth,full,0,512,1,0.03846,0.00132,3.42%
mandelbrot_pth,seahorse,0,512,1,0.2533,0.0110,4.34%
mandelbrot_pth,elephant,0,512,1,0.23355,0.00562,2.41%
mandelbrot_pth,spiral,0,512,1,0.27957,0.00296,1.06%
mandelbrot_pth,full,0,512,2,0.02100,0.00242,1.50%
mandelbrot_pth,seahorse,0,512,2,0.14463,0.00469,3.24%
mandelbrot_pth,elephant,0,512,2,0.12213,0.00253,2.07%
mandelbrot_pth,spiral,0,512,2,0.15878,0.00421,2.65%
mandelbrot_pth,full,0,512,4,0.01919,0.00104,5.44%
mandelbrot_pth,seahorse,0,512,4,0.079716,0.000808,1.01%
mandelbrot_pth,elephant,0,512,4,0.07412,0.00101,1.37%
mandelbrot_pth,spiral,0,512,4,0.08674,0.00240,2.77%
mandelbrot_pth,full,0,512,8,0.018132,0.000410,2.26%
mandelbrot_pth,seahorse,0,512,8,0.06191,0.00598,9.65%
mandelbrot_pth,elephant,0,512,8,0.06106,0.00443,7.26%
mandelbrot_pth,spiral,0,512,8,0.066860,0.000493,0.74%
mandelbrot_pth,full,0,512,16,0.01209,0.00161,3.34%
mandelbrot_pth,seahorse,0,512,16,0.05482,0.00399,7.27%
mandelbrot_pth,elephant,0,512,16,0.0550382,0.0000861,0.16%
